age,sex,s,v,rs,rv,dead,vrs,sv,n
41,male,0.1136468059787755,0.07084529432055399,0.2822399997,0.0,0,0,0.009995301672332122,0.5232725983283384
42,female,0.10402151767710155,0.051905395779678176,0.2494972548,0.0,0,0,0.006445920408176282,0.588129911335044
42,male,0.11379906331327691,0.06863668856652855,0.2839466664,0.0,0,0,0.009668062564778986,0.5239495191554155
43,female,0.10673956073488006,0.05013520546006779,0.2509968627,0.0,0,0,0.006395626208967483,0.5857327448960847
43,male,0.11395126775338546,0.06642264337539916,0.2856533331,0.0,0,0,0.009341089151066424,0.5246316666201489
44,female,0.10954226532918147,0.04820392930558265,0.2524964706,0.0,0,0,0.006316704460402193,0.5834406303048336
44,male,0.11410341806018354,0.06420315766844795,0.2873599998,0.0,0,0,0.009014382509912346,0.5253190419614562
45,female,0.11249729579770676,0.045630191433420106,0.2539960785,0.0,0,0,0.0061422607722138155,0.5817341734966593
45,male,0.11426991994498355,0.06187545381042982,0.2890666665,0.0,0,0,0.008673536769641485,0.526114422974945
46,female,0.11356612535513629,0.04189264195718515,0.2554956864,0.0,0,0,0.005671422394260959,0.5833741238934176
46,male,0.11355381248173477,0.058610929122197286,0.2907733332,0.0,0,0,0.008119268794743397,0.5289426564013247
47,female,0.11441077888751777,0.039861758016652975,0.2569952943,0.0,0,0,0.005427364329968719,0.5833048044658605
47,male,0.11269453854815167,0.05638841847121966,0.29247999989999995,0.0,0,0,0.0077194918649376495,0.530717551215691
48,female,0.11520953447183853,0.03820688455071568,0.2584949022,0.0,0,0,0.005231815709455553,0.5828568630679902
48,male,0.11184651575866247,0.05410475751198308,0.2941866666,0.0,0,0,0.007319724599100498,0.5325423355302539
49,female,0.11596164526775966,0.036927267534526964,0.2599945101,0.0,0,0,0.005085530557567773,0.5820310465401456
49,male,0.11100954546673289,0.05175981179203767,0.29589333329999995,0.0,0,0,0.00692010144968183,0.5344172079915477
50,female,0.11666635778974704,0.03602214632117515,0.261494118,0.0,0,0,0.004989269521217031,0.5808281083678608
50,male,0.11018343205199432,0.049353450292198404,0.2976,0.0,0,0,0.006520753435866634,0.5363423642199407
51,female,0.11387100176916225,0.03757295957504803,0.2658054905,0.0,0,0,0.005072381080317651,0.577678167075472
51,male,0.11041481199469001,0.04595913934430527,0.3025066666999999,0.0,0,0,0.006058700522913139,0.5350606814380916
52,female,0.11138756276412241,0.03720825013872697,0.270116863,0.0,0,0,0.004896038276114493,0.576391285821036
52,male,0.11051664855122739,0.04353724256327436,0.3074133334,0.0,0,0,0.005726586932988314,0.5328061885525099
53,female,0.10892473180942433,0.03704251027456812,0.2744282355,0.0,0,0,0.0047508909043382855,0.5748536315116692
53,male,0.11061459494162958,0.041136909693074,0.3123200001,0.0,0,0,0.005398759003582305,0.5305297362617141
54,female,0.10648371873485148,0.03707761692059862,0.27873960799999997,0.0,0,0,0.004635062026961884,0.573063994317588
54,male,0.11070867180629947,0.03875816181705461,0.3172266668,0.0,0,0,0.005075195651344679,0.5282313039253013
55,female,0.10401299528192201,0.037747561270617694,0.2830509805,0.0,0,0,0.004599405767112143,0.5705890571803481
55,male,0.11086956625635357,0.03586014502049795,0.32213333349999995,0.0,0,0,0.0046852093217537305,0.5264517459013948
56,female,0.10066896579799463,0.03896499569320634,0.287362353,0.0,0,0,0.004583601684223949,0.568420083824575
56,male,0.10947467813931157,0.03150076114718259,0.32704000019999996,0.0,0,0,0.0040334168517290004,0.527951143661777
